Código;Município;Densidade demográfica, 2000;Renda per Capita, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Variacao_Populacao_1991_a_2000;Percentual_Populacao_Urbana;Populacao por Supermercados
270430;Maceió (AL);1553.9;282.99;48.36;0.739;0.2682146314787113;0.9975493852153344;268.0641801075269
330250;Magé (RJ);532.1;209.61;45.5;0.746;0.2571076081180947;0.9418014866637516;414.14486921529175
130260;Manaus (AM);122.5;262.4;49.67;0.774;0.3898503313392671;0.9935504522223448;240.7251712328767
150420;Marabá (PA);11.1;188.59;48.53;0.714;0.3586376427208331;0.7997440780859422;213.2233502538071
230765;Maracanaú (CE);1770.8;129.76;45.24;0.736;0.1436898269816928;0.9968731222041708;912.3451776649746
411520;Maringá (PR);587.6;465.37;38.73;0.841;0.2012593011835599;0.9838040831032416;364.921618204804
352900;Marília (SP);168.1;421.22;39.36;0.821;0.2245933887272027;0.9613716289487286;704.7928571428571
352940;Mauá (SP);5800.5;274.82;50.6;0.781;0.2318456396314552;1.0;879.8837772397094
353060;Moji das Cruzes (SP);453.4;386.11;47.74;0.801;0.2540670474223045;0.9148349235861084;444.46971736204574
314330;Montes Claros (MG);85.2;245.43;42.06;0.783;0.2274835840711504;0.9421268166817072;233.7753236862148
240800;Mossoró (RN);100.4;179.59;45.97;0.735;0.1122085433277682;0.9309767537562956;528.0024691358025
240810;Natal (RN);4175.5;339.92;42.52;0.788;0.1728664811552203;1.0;380.9181818181818
330320;Nilópolis (RJ);7998.5;298.3;46.51;0.788;-0.0277053867368367;1.0;250.7536704730832
330330;Niterói (RJ);3478.5;809.18;43.93;0.886;0.0534122043768843;1.0;606.9365918097755
280480;Nossa Senhora do Socorro (SE);831.1;114.08;47.91;0.696;0.9486636872169768;0.9969623098595828;1186.2972972972973
330340;Nova Friburgo (RJ);185.4;366.84;35.63;0.81;0.0379277117086922;0.8756357471542746;371.34475374732335
330350;Nova Iguaçu (RJ);1636.3;237.5;47.82;0.762;0.1966756662251381;1.0;223.44635922330096
431340;Novo Hamburgo (RS);1092.8;390.95;38.14;0.809;0.1142650916158738;0.9822009966425762;384.0536585365854
260960;Olinda (PE);9675.7;257.41;45.21;0.792;0.0845304176849131;0.9800272898761084;378.1109969167523
353440;Osasco (SP);9999.9;390.45;48.81;0.818;0.1529565366411256;1.0;500.45475460122697
421190;Palhoça (SC);317.0;299.79;45.94;0.816;0.498483169009976;0.9530085067450508;306.6925373134328
172100;Palmas (TO);55.2;358.05;44.64;0.8;2.6045504644937805;0.9768774343853518;212.95348837209303
411820;Paranaguá (PR);157.6;305.36;39.04;0.782;0.3156486341281976;0.9607975561297012;373.42815249266863
220770;Parnaíba (PI);305.7;164.77;47.52;0.674;0.1280507563999795;0.9448602228572291;328.24317617866006
240325;Parnamirim (RN);975.3;263.01;42.11;0.76;0.9832988706855416;0.8752827010987249;670.3763440860215
431410;Passo Fundo (RS);221.8;405.65;42.83;0.804;0.1957807165115668;0.9721354877773688;295.54035087719296
314800;Patos de Minas (MG);38.7;306.03;32.35;0.813;0.2033590426048608;0.8987092451626965;390.79179810725554
261070;Paulista (PE);2561.8;213.38;44.6;0.799;0.2273622922507359;1.0;397.9317147192716
431440;Pelotas (RS);196.0;345.2;41.95;0.816;0.1237972033565286;0.9316835727415071;241.88473053892216
261110;Petrolina (PE);45.9;201.23;48.34;0.747;0.3456607677245353;0.7608699631185423;386.7929203539823
330390;Petrópolis (RJ);368.7;399.93;40.87;0.804;0.1216160145301956;0.9446284424001088;617.5366379310345
353800;Pindamonhangaba (SP);171.8;332.01;45.24;0.815;0.2347863574458912;0.944868519194452;466.7629629629629
411915;Pinhais (PR);1694.7;292.98;41.45;0.815;0.6454695064470257;0.9780647667135992;990.2403846153846
353870;Piracicaba (SP);239.3;455.87;43.59;0.836;0.180984159446029;0.964199563735349;496.4675716440422
315180;Poços de Caldas (MG);248.0;435.56;36.17;0.841;0.2315955794883901;0.9646014436653468;235.05545927209707
411990;Ponta Grossa (PR);132.2;318.22;41.1;0.804;0.1808859579463453;0.9746615694988596;303.34368070953434
431490;Porto Alegre (RS);2741.2;709.88;42.99;0.865;0.0868217698246982;0.9707105005916552;300.08601676224083
110020;Porto Velho (RO);9.8;305.21;45.25;0.763;0.3848308794928454;0.8178694260759395;115.639599170698
315250;Pouso Alegre (MG);195.5;391.12;39.33;0.826;0.304755853169754;0.9155240878099948;494.3333333333333
354100;Praia Grande (SP);1332.9;377.92;50.72;0.796;0.5675671298545655;1.0;513.4801061007958
354140;Presidente Prudente (SP);335.5;482.62;42.47;0.846;0.1432283483599623;0.9790840759887096;344.60109289617486
330414;Queimados (RJ);1560.0;183.0;46.55;0.732;0.1938211318465166;1.0;5304.04347826087
261160;Recife (PE);6501.8;392.46;44.77;0.797;0.0859723153971847;1.0;363.9143222506394
330420;Resende (RJ);94.8;365.45;37.61;0.809;0.2352927275949665;0.9178758285588576;266.0279898218829
