Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
330040;Barra Mansa (RJ);548.9;310.8;106.4588371;72.2;2.01;286.41;0.55;53.27;37.46;0.806;86.74;93.56;6.25;170753;616.0;0.0448848964006411;0.0590502070241811;0.9670928182813772;277.19642857142856;1
290320;Barreiras (BA);11979.5;11.0;708.5418028;63.7;2.76;229.24;0.63;50.44;46.09;0.723;84.77;84.42;5.38;131849;287.0;0.4232405008635578;0.0296020447633277;0.8781560724768486;459.40418118466897;3
350550;Barretos (SP);1568.0;66.2;387.3515975;69.03;1.78;397.62;0.57;56.62;33.79;0.802;82.76;93.6;6.78;103913;256.0;0.0890749785146833;0.0783155139395455;0.9513727830011643;405.91015625;2
350570;Barueri (SP);64.3;3235.3;24.79466427;71.35;2.54;494.29;0.69;76.06;51.67;0.826;82.88;93.36;6.45;208281;312.0;0.6503910428601991;0.0291625256264373;1.0;667.5673076923077;0
350600;Bauru (SP);675.2;467.8;283.4705133;70.46;2.11;500.27;0.59;61.13;44.08;0.825;83.02;94.76;7.45;316064;710.0;0.2104537516468028;0.0725391060038473;0.9822124632985724;445.1605633802817;1
150140;Belém (PA);1070.1;1196.0;0.0;70.5;1.96;313.93;0.65;49.62;43.23;0.806;88.55;94.96;7.68;1280614;3080.0;0.1802937522350312;0.0468954735775182;0.9935499689992456;415.78376623376624;0
330045;Belford Roxo (RJ);80.0;5414.0;24.92370652;67.64;2.32;182.33;0.49;63.99;49.45;0.742;78.01;91.99;5.64;434474;89.0;0.2060045689351273;0.0471903957428983;1.0;4881.730337078651;1
310620;Belo Horizonte (MG);331.9;6718.0;0.0;70.52;1.65;557.44;0.62;55.92;40.64;0.839;87.89;95.38;8.13;2238526;5716.0;0.1080928698257217;0.0622208542585612;1.0;391.62456263121067;0
310670;Betim (MG);346.8;875.4;30.34710063;71.76;2.5;203.22;0.53;58.78;44.41;0.775;82.74;91.45;5.58;306675;366.0;0.7941135174979816;0.0321252139887503;0.972554006684601;837.9098360655738;1
420240;Blumenau (SC);510.3;513.2;91.01678655;74.44;1.84;462.28;0.51;69.45;38.16;0.855;89.16;97.21;7.13;261808;404.0;0.2398853922474011;0.0500634052435372;0.9241237853694312;648.039603960396;1
