Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;População total, 2000;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Supermercados per Capita
350220;Angatuba (SP);1031.0;18.7;181.1702874;69.45;2.53;250.71;0.55;51.62;35.94;0.762;74.31;90.38;5.09;19297;51.0;0.12068064347523078;0.06824895061408509;0.6861170130072032;0.002642897859770949
310285;Angelândia (MG);537.5;13.9;310.137894;64.26;4.46;127.06;0.62;38.65;46.28;0.635;67.55;66.57;2.47;7468;2.0;0.7514071294559099;0.03816282806641671;0.43197643277986075;0.0002678093197643278
260100;Angelim (PE);126.7;71.5;180.2075972;62.61;3.26;84.65;0.62;61.01;59.44;0.602;77.87;60.97;2.8;9082;28.0;0.03984428669567208;0.09711517286941203;0.5002202158114952;0.0030830213609337152
420090;Angelina (SC);524.5;11.0;43.05427946;75.29;2.05;185.13;0.5;42.97;45.1;0.766;70.94;86.79;3.84;5776;14.0;-0.05820968530898418;0.09020083102493075;0.17572714681440443;0.0024238227146814403
500085;Angélica (MS);1276.5;5.8;210.5025858;69.46;2.29;160.18;0.51;38.55;38.2;0.729;82.5;82.79;4.11;7356;31.0;-0.16730812768847636;0.0664763458401305;0.7737901033170201;0.0042142468733007065
290140;Angical (BA);1497.5;9.8;679.2726679;66.2;3.79;71.46;0.52;48.95;54.92;0.625;74.77;68.18;2.56;14701;14.0;-0.08416396710690255;0.06292088973539214;0.4105162914087477;0.0009523161689680974
220060;Angical do Piauí (PI);212.3;32.0;111.0055025;67.47;2.75;74.06;0.55;57.1;57.8;0.648;80.71;71.42;3.77;6788;22.0;0.10752161853483444;0.08264584560989982;0.7461697112551562;0.003241013553329405
170105;Angico (TO);564.1;5.1;422.8423304;64.51;3.37;89.4;0.59;52.13;55.9;0.668;88.66;79.09;3.58;2889;4.0;0.26710526315789473;0.058151609553478714;0.5673243336794739;0.0013845621322256837
240080;Angicos (RN);809.5;14.3;154.5720696;71.32;2.36;115.39;0.57;48.87;50.05;0.688;83.05;67.65;4.0;11626;27.0;0.007889033376679677;0.08627214863237571;0.8077584723894718;0.002322380870462756
330010;Angra dos Reis (RJ);816.3;146.0;114.1619671;69.14;2.3;275.66;0.55;67.46;48.27;0.772;79.0;91.07;5.93;119247;229.0;0.39354454195930866;0.039632024285726264;0.9585146796145815;0.0019203837413100538
290150;Anguera (BA);170.8;51.7;121.0679561;61.96;2.25;71.09;0.54;52.15;55.82;0.623;83.17;73.81;3.11;8834;9.0;0.12406158544344059;0.08795562599049128;0.39121575730133573;0.0010187910346388953
